action,clip,csv_path,n_rows,n_frames,min_frame,max_frame,frames_with_dets,mean_dets_per_frame,missing_frames,mean_w,mean_h,mean_ar,mean_area,conf_median,conf_p10,conf_p90
crossing,crossing_KS_1,/content/uniri-hbd/handball_s/player_detections/crossing/crossing_KS_1.csv,1747,82,1,82,82,21.304878048780488,0,311.2654003409845,164.3690507727533,1.0983582054746104,127610.79062954955,0.710556,0.07353478000000002,0.9935316000000001
crossing,crossing_KS_10,/content/uniri-hbd/handball_s/player_detections/crossing/crossing_KS_10.csv,1480,81,1,81,81,18.271604938271604,0,315.2650379054054,167.5097175,1.0978409383013366,131596.5958640409,0.8419265,0.07647631,0.9943698
crossing,crossing_KS_100,/content/uniri-hbd/handball_s/player_detections/crossing/crossing_KS_100.csv,919,67,1,67,67,13.716417910447761,0,219.62062731229597,122.66989553862894,0.8685440455173723,75058.9137400149,0.398354,0.06374984,0.9958232
crossing,crossing_KS_101,/content/uniri-hbd/handball_s/player_detections/crossing/crossing_KS_101.csv,1044,81,1,81,81,12.88888888888889,0,229.87747672413792,161.2544475948276,0.7382256657173314,119202.28989398784,0.7138955,0.06570173,0.9974155
crossing,crossing_KS_102,/content/uniri-hbd/handball_s/player_detections/crossing/crossing_KS_102.csv,993,82,1,82,82,12.109756097560975,0,329.75800437059416,174.65194884189324,1.0185331765259795,158942.00607297706,0.252524,0.06513767999999999,0.9967958
crossing,crossing_KS_103,/content/uniri-hbd/handball_s/player_detections/crossing/crossing_KS_103.csv,706,82,1,82,82,8.609756097560975,0,278.5103094984419,182.51700042492917,0.8171986294869645,153840.96135911887,0.957063,0.0700507,0.9976864999999999
crossing,crossing_KS_104,/content/uniri-hbd/handball_s/player_detections/crossing/crossing_KS_104.csv,688,66,1,66,66,10.424242424242424,0,177.23328313244184,134.45604113372093,0.7467610948977061,82527.02038764994,0.798772,0.06231907,0.9978648
crossing,crossing_KS_105,/content/uniri-hbd/handball_s/player_detections/crossing/crossing_KS_105.csv,851,82,1,82,82,10.378048780487806,0,208.12132160152765,182.87702585193892,0.7575975498325391,108875.76677224034,0.581712,0.0581981,0.996737
crossing,crossing_KS_106,/content/uniri-hbd/handball_s/player_detections/crossing/crossing_KS_106.csv,1098,83,1,83,83,13.228915662650602,0,304.7577994535519,177.1845843351548,0.9500619550065588,150069.64072675968,0.410377,0.05959183,0.9975187
crossing,crossing_KS_107,/content/uniri-hbd/handball_s/player_detections/crossing/crossing_KS_107.csv,1148,85,1,85,85,13.505882352941176,0,360.1418967770035,199.0023518292683,1.0547501174668217,178443.42413364843,0.315327,0.06952509999999999,0.9966893
crossing,crossing_KS_108,/content/uniri-hbd/handball_s/player_detections/crossing/crossing_KS_108.csv,910,65,1,65,65,14.0,0,331.4017951648351,186.33830076923078,1.0178627018228945,165567.94843054892,0.45294449999999997,0.065851,0.9964882
