frame,id,x1,y1,x2,y2
1,1,644.103,429.554,695.26,560.026
1,2,219.664,568.974,360.183,759.516
1,3,1323.69,472.796,1385.08,610.573
1,4,12.5308,495.16,73.9846,644.791
1,5,153.508,596.401,181.373,621.219
1,6,1331.65,432.249,1366.72,512.643
1,7,62.6319,133.262,1797.51,928.175
1,8,1316.41,420.51,1363.52,542.245
1,9,16.3209,299.907,1490.14,761.745
1,10,96.3532,566.288,171.18,723.167
1,11,570.636,511.875,646.579,670.94
2,1,643.968,428.869,692.761,559.681
2,2,217.965,572.231,355.506,770.138
2,3,1323.23,474.362,1386.79,611.122
2,4,12.9181,495.31,75.245,645.46
2,5,156.466,594.113,183.698,617.685
2,6,1327.55,425.36,1370.35,523.111
2,7,57.0251,140.375,1782.19,920.275
2,8,1314.23,423.469,1362.87,569.697
2,9,16.6629,300.525,1492.41,745.754
2,10,105.224,562.838,178.391,717.046
2,11,570.947,512.877,644.225,670.213
2,12,1338.43,436.019,1369.09,495.705
2,13,573.92,502.567,604.861,544.324
2,14,1351.59,431.305,1374.51,465.821
2,15,796.556,677.315,822.445,727.909
3,1,644.259,430.898,693.323,558.625
3,2,216.38,569.091,352.894,776.176
3,3,1323.9,473.191,1385.95,610.607
3,4,13.1824,495.156,75.1943,645.617
3,6,1326.95,426.696,1370.44,512.21
3,7,58.8814,136.36,1774.21,927.174
3,9,18.6548,300.766,1494.29,761.093
3,10,114.526,562.907,177.585,702.457
3,11,569.354,511.93,644.276,669.333
3,12,1340.27,434.336,1370.5,489.471
3,14,1344.7,431.5,1374.5,469.975
3,16,1357.37,435.021,1377.33,465.264
4,1,644.368,429.974,695.557,558.859
4,2,214.77,572.658,348.019,780.358
4,3,1323.65,470.164,1388.79,609.592
4,4,12.6147,494.746,75.5958,646.204
4,7,22.2608,254.816,1556.8,889.116
4,10,126.677,562.55,187.722,695.857
4,11,568.039,511.305,643.452,668.559
4,12,1342.85,436.375,1370.15,484.334
4,14,1350.41,433.218,1374.41,467.743
4,17,0.0,475.788,771.487,680.296
5,1,644.306,429.53,696.281,560.042
5,2,204.471,573.026,336.556,785.009
5,3,1322.62,470.046,1387.65,610.21
5,4,12.4321,495.112,74.8926,647.394
5,7,70.1152,110.292,1721.17,943.178
5,9,23.2645,298.724,1494.09,758.533
5,10,134.234,561.557,193.442,674.796
5,11,562.974,508.62,643.277,668.729
5,12,1343.99,435.792,1374.73,483.903
5,16,1355.03,432.815,1375.9,464.643
6,1,644.123,429.486,696.856,559.899
6,2,196.883,573.652,336.194,787.382
6,3,1325.53,469.419,1386.43,610.707
6,4,11.2723,493.715,74.8311,647.626
6,9,6.77606,281.673,1248.85,812.828
6,10,139.828,560.328,197.844,671.297
6,11,564.595,507.122,641.649,666.476
6,12,1345.63,438.501,1374.66,483.289
6,14,1353.48,438.868,1377.75,469.026
6,16,1357.78,433.233,1375.36,461.296
6,18,1345.52,442.902,1365.61,472.249
7,1,643.811,430.092,697.548,560.149
7,2,197.617,573.805,333.314,788.081
7,3,1325.1,472.033,1383.38,612.129
7,4,11.3927,495.023,75.399,644.892
7,7,45.1767,218.622,1779.58,906.839
7,9,8.48572,277.706,1188.75,800.194
7,10,146.383,561.377,205.729,678.256
7,11,558.904,507.777,627.857,661.622
7,12,1349.12,438.94,1377.21,487.249
7,14,1352.5,436.13,1376.73,467.511
7,16,1363.12,436.415,1377.3,459.455
7,19,796.424,677.21,822.714,728.55
7,20,1368.68,439.983,1380.4,459.83
8,1,642.538,427.247,696.276,561.755
8,2,197.801,575.164,330.296,787.789
8,3,1326.52,473.451,1380.27,611.305
8,4,11.2898,494.235,77.7724,643.795
8,7,33.3595,132.204,1811.93,829.136
8,9,15.0179,258.29,1180.16,789.943
8,10,152.287,563.582,209.235,695.149
8,11,561.942,506.167,621.026,660.556
8,12,1346.36,446.705,1370.61,488.866
8,14,1350.21,443.535,1377.73,476.998
8,16,1363.8,437.585,1377.05,459.284
9,1,642.756,425.438,695.382,560.43
9,2,195.128,577.586,321.181,783.946
9,3,1325.77,473.525,1379.89,611.003
9,4,16.1573,496.635,77.8756,646.123
9,9,0.0,375.963,1221.04,814.596
9,10,158.026,562.099,209.134,692.305
9,11,562.436,503.039,621.386,660.294
9,12,1351.1,439.084,1375.67,495.377
9,14,1353.54,445.077,1378.72,477.594
9,16,1364.58,440.028,1376.59,458.625
9,20,1361.18,442.817,1377.14,465.548
9,21,1357.72,435.901,1373.62,459.751
9,22,1319.05,450.517,1328.31,470.956
10,1,641.862,428.903,696.73,562.671
10,2,193.905,577.421,315.91,784.768
10,3,1325.62,472.93,1378.36,610.994
10,4,13.7572,495.145,80.3334,644.059
10,7,53.1384,201.732,1563.54,851.199
10,10,162.404,563.628,210.634,692.982
10,11,559.781,503.912,614.979,656.683
10,12,1356.36,441.313,1378.87,495.981
10,21,1356.79,436.272,1374.01,465.799
11,1,643.093,428.762,698.659,560.331
11,2,187.255,574.818,306.21,788.896
11,3,1324.67,473.514,1378.69,609.922
11,4,11.9202,494.778,78.0824,644.508
11,9,21.0033,267.589,1186.26,766.958
11,10,169.519,572.688,207.569,693.385
11,11,555.4,503.099,616.289,660.269
11,12,1358.29,441.51,1380.04,500.877
11,14,1362.78,447.573,1384.07,484.846
11,23,1378.9,445.271,1391.07,474.549
11,24,173.193,567.279,199.319,597.81
11,25,1356.08,436.459,1401.3,502.788
12,1,640.932,427.637,694.567,561.439
12,2,179.426,571.895,302.703,792.386
12,3,1325.07,472.24,1375.74,610.233
12,4,12.6002,503.875,77.104,643.994
12,9,28.2891,254.697,1190.83,770.414
12,10,174.958,569.211,208.526,691.697
12,11,554.974,502.15,611.65,658.616
12,12,1357.92,444.07,1383.5,505.367
12,25,1354.49,436.37,1389.15,536.471
13,1,642.233,429.342,696.719,565.049
13,2,187.416,576.037,263.27,725.969
13,3,1324.61,473.703,1376.04,610.312
13,4,14.335,494.854,79.9474,646.777
13,9,16.7586,292.588,1427.76,777.396
13,10,177.881,569.68,209.326,682.761
13,11,552.182,499.273,604.539,657.864
13,12,1360.92,442.795,1383.23,499.684
13,23,1380.05,443.706,1395.3,479.805
13,25,1360.84,440.64,1386.1,543.978
13,26,1357.53,434.321,1367.26,460.642
13,27,1417.24,456.955,1435.94,518.499
13,28,1369.7,463.419,1388.05,555.029
14,1,642.157,429.597,696.738,564.714
14,2,175.247,571.021,274.169,744.844
14,3,1324.77,473.724,1378.71,610.31
14,4,14.395,495.664,79.6917,646.692
14,9,21.6372,287.538,1468.34,763.698
14,11,537.25,498.192,602.457,660.38
14,12,1362.11,441.178,1385.85,495.745
14,23,1378.17,444.232,1392.9,478.197
