frame,id,x1,y1,x2,y2
1,1,1319.16,732.056,1354.98,838.122
1,2,1029.28,728.335,1069.6,818.572
1,3,2062.82,670.855,2107.05,810.831
1,4,1249.23,636.897,1290.23,764.089
1,5,985.936,691.599,1030.12,819.259
1,6,1105.59,654.188,1130.93,714.76
1,7,1065.26,696.255,1093.98,821.677
1,8,1047.46,724.764,1077.06,819.487
1,9,955.311,691.902,1023.09,814.003
1,10,1322.7,642.962,1346.09,730.423
1,11,1504.55,618.649,1530.45,687.714
1,12,1866.86,705.102,1935.92,825.749
1,13,1287.57,645.175,1318.92,731.709
1,14,2195.51,677.271,2206.24,702.779
1,15,938.981,697.508,978.865,808.467
1,16,2218.42,679.321,2231.04,714.256
1,17,1563.45,601.227,1588.22,677.627
1,18,1130.82,723.654,1164.08,822.874
1,19,1265.84,641.173,1322.76,762.105
1,20,328.388,553.826,1753.26,838.315
1,21,244.837,429.257,2496.73,1132.9
1,22,996.507,715.655,1117.98,822.161
1,23,942.357,697.216,1080.0,820.27
1,24,1701.45,785.964,1802.21,1059.37
1,25,876.904,649.181,1167.83,828.703
1,26,1449.54,614.252,1561.6,687.54
1,27,1859.95,795.367,1933.21,949.395
1,28,2183.66,652.241,2233.85,826.887
1,29,711.211,572.049,2258.59,976.064
1,30,1289.35,642.969,1358.39,741.394
1,31,1292.91,649.234,1431.2,732.537
1,32,1006.41,708.075,1067.09,822.333
1,33,1529.26,607.274,1552.1,688.669
1,34,919.879,698.554,968.278,807.06
1,35,1108.49,654.456,1132.83,765.5
1,36,1472.38,613.186,1500.22,687.962
1,37,1377.89,660.59,1402.19,737.746
2,1,1319.31,731.858,1353.86,838.062
2,2,1029.44,727.49,1066.32,818.649
2,3,2059.74,670.363,2105.81,809.307
2,4,1248.9,637.158,1290.74,765.115
2,5,986.755,692.071,1027.67,817.157
2,7,1066.34,705.722,1094.84,821.095
2,8,1054.44,719.955,1082.22,821.378
2,9,950.073,692.022,1010.64,813.604
2,10,1322.98,643.472,1345.82,732.966
2,11,1506.22,616.315,1531.92,688.443
2,12,1862.84,702.793,1936.56,833.116
2,13,1286.7,645.335,1320.16,733.381
2,14,2194.7,678.392,2205.12,702.797
2,16,2218.6,680.611,2229.82,710.704
2,17,1563.1,603.407,1588.6,675.746
2,18,1129.84,725.655,1164.2,825.935
2,19,1268.35,641.193,1323.96,762.548
2,20,248.399,557.886,1801.28,825.46
2,21,98.2878,479.295,2290.08,1084.53
2,22,999.84,714.189,1120.81,821.825
2,23,944.837,699.971,1082.28,820.196
2,25,875.242,649.854,1166.15,827.905
2,27,1855.07,799.747,1928.25,951.487
2,29,700.446,570.636,2258.03,962.4
2,30,1289.55,643.159,1356.41,742.64
