frame,id,x1,y1,x2,y2
1,1,1198.6,670.453,1221.47,728.409
1,2,1623.49,723.283,1663.18,801.962
1,3,1352.24,634.157,1370.85,691.912
1,4,1393.7,646.428,1411.71,699.961
1,5,898.235,497.075,913.739,526.349
1,6,1632.24,721.026,1664.74,761.862
1,7,869.27,492.98,875.807,513.068
1,8,870.321,492.099,881.771,517.098
1,9,1476.83,663.185,1485.79,701.065
1,10,89.793,302.569,1804.59,926.266
1,11,1596.56,693.811,1640.28,801.025
1,12,999.066,591.143,1858.0,829.832
1,13,1657.89,709.506,1696.69,790.351
1,14,1752.01,929.497,1826.95,1028.06
1,15,280.062,741.027,325.189,896.358
1,16,1572.41,690.543,1626.41,762.523
1,17,869.887,492.476,879.37,507.805
1,18,1272.48,616.305,1291.79,668.283
1,19,438.593,659.096,474.902,771.718
1,20,1597.76,692.704,1628.9,744.435
1,21,65.4498,583.913,1467.42,815.387
1,22,1428.49,581.674,1863.54,830.302
1,23,1423.05,651.764,1441.25,708.835
1,24,1659.97,711.497,1684.07,775.301
1,25,874.775,492.113,881.688,509.722
1,26,1650.63,714.751,1679.98,788.227
1,27,1259.18,727.976,1298.77,837.866
2,1,1197.31,670.89,1219.36,731.242
2,2,1625.39,725.445,1662.64,790.346
2,3,1352.93,635.252,1370.38,691.23
2,4,1392.79,642.943,1412.72,696.904
2,5,895.613,496.351,912.552,525.875
2,6,1636.18,720.951,1664.84,762.478
2,8,871.274,492.366,882.621,518.773
2,9,1476.43,663.411,1485.65,701.141
2,10,111.901,284.901,1798.83,929.947
2,11,1597.37,693.805,1644.54,803.892
2,16,1583.68,694.39,1630.56,763.975
2,18,1272.99,614.286,1291.47,665.953
2,19,435.556,659.109,471.197,771.903
2,20,1599.51,692.471,1629.22,745.245
2,22,1327.65,586.917,1814.73,829.529
2,23,1424.22,652.35,1440.92,708.228
2,24,1657.73,711.326,1684.08,782.295
2,26,1644.97,717.376,1677.05,787.88
2,27,1268.31,728.107,1300.95,834.086
2,28,1273.61,726.956,1299.01,774.722
2,29,1620.44,726.995,1648.81,805.528
2,30,1599.42,694.388,1622.08,728.168
2,31,1274.91,666.309,1282.44,678.701
2,32,1395.13,669.892,1410.78,696.35
