epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1047.76,1.22473,0.66922,0.93531,0.88616,0.74444,0.8376,0.51353,1.26364,0.65501,0.93586,0.0503323,0.000299805,0.000299805
2,2087.73,1.20365,0.64515,0.92665,0.89807,0.76244,0.848,0.51086,1.28395,0.63697,0.9382,0.000572913,0.000540424,0.000540424
3,3130.91,1.19492,0.6345,0.92406,0.90043,0.75327,0.84729,0.54003,1.20544,0.61473,0.92824,0.0004812,0.0004812,0.0004812
4,4165.48,1.1707,0.62364,0.92072,0.89936,0.76251,0.85391,0.54809,1.19381,0.60833,0.92193,0.0004218,0.0004218,0.0004218
5,5205.87,1.16033,0.61196,0.91659,0.90815,0.75767,0.85403,0.54794,1.18287,0.59833,0.91789,0.0003624,0.0003624,0.0003624
6,6243.35,1.1359,0.59831,0.91096,0.90162,0.7606,0.8524,0.55106,1.16557,0.59386,0.91503,0.000303,0.000303,0.000303
7,7285.44,1.12621,0.58862,0.90815,0.90643,0.76476,0.85599,0.55314,1.14916,0.58329,0.90921,0.0002436,0.0002436,0.0002436
8,8330.09,1.12117,0.58076,0.90665,0.8994,0.77244,0.85814,0.55944,1.1432,0.57593,0.91071,0.0001842,0.0001842,0.0001842
9,9371.34,1.09615,0.57117,0.90305,0.90711,0.77022,0.85793,0.55933,1.12794,0.56755,0.90698,0.0001248,0.0001248,0.0001248
10,10416.2,1.08363,0.56278,0.9002,0.90557,0.77103,0.85758,0.55899,1.13283,0.55674,0.90536,6.54e-05,6.54e-05,6.54e-05
